Entidad Federativa,Porcentaje 2008,Porcentaje 2010,Porcentaje 2012,Porcentaje 2014,Porcentaje 2016,Porcentaje 2018,Porcentaje 2020
Aguascalientes,37.6,38.1,37.8,34.8,28.9,26.3,27.6
Baja California,26,31.5,30.2,28.6,22.6,23.6,22.5
Baja California Sur,21.4,31,30.1,30.3,22.9,18.6,27.6
Campeche,45.9,50.5,44.7,43.6,45.7,49,50.5
Coahuila de Zaragoza,32.7,27.8,27.9,30.2,27.1,25.5,25.6
Colima,27.4,34.7,34.4,34.3,32.5,30.4,26.7
Chiapas,77,78.5,74.7,76.2,77.9,78,75.5
Chihuahua,32.1,38.8,35.3,34.4,30.7,26.6,25.3
Ciudad de México,27.6,28.5,28.9,28.4,26.6,30,32.6
Durango,48.4,51.6,50.1,43.5,37.2,38.8,38.7
Guanajuato,44.1,48.5,44.5,46.6,39.4,41.5,42.7
Guerrero,68.4,67.6,69.7,65.2,66.8,67.9,66.4
Hidalgo,55.2,54.7,52.8,54.3,56.9,49.9,50.8
Jalisco,36.7,37,39.8,35.4,30.5,27.8,31.4
México,43.6,42.9,45.3,49.6,46.6,41.8,48.9
Michoacán de Ocampo,55.5,54.7,54.4,59.2,54.2,46.2,44.5
Morelos,48.8,43.2,45.5,52.3,46.7,48.5,50.9
Nayarit,41.7,41.4,47.6,40.5,38.1,35.7,30.4
Nuevo León,21.4,21,23.2,20.4,18.8,19.4,24.3
Oaxaca,61.8,67,61.9,66.8,68,64.3,61.7
Puebla,64.6,61.5,64.5,64.5,58.1,58,62.4
Querétaro,35.2,41.4,36.9,34.2,29.7,26.4,31.3
Quintana Roo,33.7,34.6,38.8,35.9,31.7,30.2,47.5
San Luis Potosí,50.9,52.4,50.5,49.1,44.1,42.1,42.8
Sinaloa,32.4,36.7,36.3,39.4,30.5,31,28.1
Sonora,27.1,33.1,29.1,29.4,27,26.7,29.9
Tabasco,53.8,57.1,49.7,49.6,53.8,56.4,54.5
Tamaulipas,33.8,39,38.4,37.9,32,34.5,34.9
Tlaxcala,59.6,60.3,57.9,58.9,55.9,51,59.3
Veracruz de Ignacio de la Llave,51.2,57.6,52.6,58,60.5,60.2,58.6
Yucatán,47,48.3,48.9,45.9,45.5,44,49.5
Zacatecas,50.1,60.2,54.2,52.3,50.2,49.2,45.8
